"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence","shape_dist_traveled"
"2","42.29850099999908","13.4856799999989","10","2549"
"2","42.29850099999908","13.4856799999989","11","2549"
"2","42.29618099999907","13.486999999998906","12","2829"
"2","42.29618099999907","13.486999999998906","13","2829"
"2","42.29880099999908","13.485529999998903","14","3144"
"2","42.29880099999908","13.485529999998903","15","3144"
"2","42.30101099999907","13.484619999998898","16","3401"
"2","42.30101099999907","13.484619999998898","17","3401"
"2","42.302334999999054","13.484745999998898","18","3549"
"2","42.302334999999054","13.484745999998898","19","3549"
"2","42.303250999999065","13.4846499999989","20","3651"
"2","42.303250999999065","13.4846499999989","21","3651"
"2","42.31973099999899","13.464699999998825","22","6112"
"2","42.31973099999899","13.464699999998825","23","6112"
"2","42.31773099999897","13.463129999998817","24","6369"
"2","42.31773099999897","13.463129999998817","25","6369"
"2","42.31264099999897","13.460169999998804","26","6985"
"2","42.31264099999897","13.460169999998804","27","6985"
"2","42.30946099999897","13.459159999998802","28","7347"
"2","42.30946099999897","13.459159999998802","29","7347"
"2","42.30660099999895","13.457799999998796","30","7684"
"2","42.30660099999895","13.457799999998796","31","7684"
"2","42.308850999998945","13.455649999998789","32","7991"
"2","42.308850999998945","13.455649999998789","33","7991"
"2","42.308130999998916","13.446729999998752","34","8731"
"2","42.308130999998916","13.446729999998752","35","8731"
"2","42.3093409999989","13.443369999998735","36","9038"
"2","42.3093409999989","13.443369999998735","37","9038"
"2","42.31133099999889","13.439249999998717","38","9444"
"2","42.31133099999889","13.439249999998717","39","9444"
"2","42.31283099999889","13.436509999998707","40","9724"
"2","42.31283099999889","13.436509999998707","41","9724"
"2","42.31477099999886","13.43299999999869","42","10085"
"2","42.31477099999886","13.43299999999869","43","10085"
"2","42.31635099999885","13.430809999998683","44","10337"
"2","42.31635099999885","13.430809999998683","45","10337"
"2","42.31830099999884","13.429249999998675","46","10589"
"2","42.31830099999884","13.429249999998675","47","10589"
"2","42.32016099999884","13.42762999999867","48","10835"
"2","42.32016099999884","13.42762999999867","49","10835"
"2","42.32673099999882","13.421809999998642","50","11708"
"2","42.32673099999882","13.421809999998642","51","11708"
"2","42.33163099999879","13.417489999998624","52","12359"
"2","42.33163099999879","13.417489999998624","53","12359"
"2","42.33416099999879","13.415429999998615","54","12687"
"2","42.33416099999879","13.415429999998615","55","12687"
"2","42.33709099999875","13.411379999998596","56","13153"
"2","42.33709099999875","13.411379999998596","57","13153"
"2","42.339310999998744","13.40987999999859","58","13429"
"2","42.339310999998744","13.40987999999859","59","13429"
"2","42.34273099999874","13.407419999998579","60","13860"
"2","42.34273099999874","13.407419999998579","61","13860"
"2","42.3446209999987","13.40114999999855","62","14417"
"3","42.34447099999871","13.40110999999855","1","0"
"3","42.34605099999875","13.410799999998595","2","818"
"3","42.34605099999875","13.410799999998595","3","818"
"3","42.35148099999877","13.4119799999986","4","1428"
"3","42.35148099999877","13.4119799999986","5","1428"
"3","42.355180999998744","13.40741999999858","6","1985"
"3","42.355180999998744","13.40741999999858","7","1985"
"3","42.35578099999872","13.404909999998567","8","2203"
"3","42.35578099999872","13.404909999998567","9","2203"
"3","42.355070999998716","13.402789999998559","10","2394"
"3","42.355070999998716","13.402789999998559","11","2394"
"3","42.35533099999871","13.403879999998562","12","2489"
"3","42.35533099999871","13.403879999998562","13","2489"
"3","42.35753099999872","13.403879999998562","14","2733"
"3","42.35753099999872","13.403879999998562","15","2733"
"3","42.3570109999987","13.39877999999854","16","3157"
"3","42.3570109999987","13.39877999999854","17","3157"
"3","42.35669099999868","13.395059999998525","18","3466"
"3","42.35669099999868","13.395059999998525","19","3466"
"3","42.35706099999867","13.3904099999985","20","3851"
"3","42.35706099999867","13.3904099999985","21","3851"
"3","42.358360999998645","13.386429999998482","22","4209"
"3","42.358360999998645","13.386429999998482","23","4209"
"3","42.36115099999865","13.386929999998483","24","4522"
"3","42.36115099999865","13.386929999998483","25","4522"
"3","42.36256099999862","13.385409999998478","26","4722"
"3","42.36256099999862","13.385409999998478","27","4722"
"3","42.36412099999862","13.382629999998464","28","5010"
"3","42.36412099999862","13.382629999998464","29","5010"
"3","42.36559099999859","13.378669999998444","30","5374"
"3","42.36559099999859","13.378669999998444","31","5374"
"3","42.36627099999858","13.37462999999842","32","5716"
"3","42.36627099999858","13.37462999999842","33","5716"
"3","42.36608099999855","13.371399999998406","34","5982"
"3","42.36608099999855","13.371399999998406","35","5982"
"3","42.36576099999854","13.369449999998398","36","6147"
"3","42.36576099999854","13.369449999998398","37","6147"
"3","42.36703099999854","13.365829999998379","38","6477"
"3","42.36703099999854","13.365829999998379","39","6477"
"3","42.3692309999985","13.36197999999836","40","6877"
"3","42.3692309999985","13.36197999999836","41","6877"
"3","42.369700999998486","13.35854999999834","42","7165"
"3","42.369700999998486","13.35854999999834","43","7165"
"3","42.36780099999845","13.352459999998308","44","7709"
"3","42.36780099999845","13.352459999998308","45","7709"
"3","42.36770099999842","13.347869999998284","46","8087"
"3","42.36770099999842","13.347869999998284","47","8087"
"3","42.36631099999841","13.345769999998272","48","8319"
"3","42.36631099999841","13.345769999998272","49","8319"
"3","42.36458099999842","13.347349999998283","50","8551"
"3","42.36458099999842","13.347349999998283","51","8551"
"3","42.36256099999844","13.350729999998299","52","8909"
"3","42.36256099999844","13.350729999998299","53","8909"
"3","42.36036099999845","13.351709999998306","54","9166"
"3","42.36036099999845","13.351709999998306","55","9166"
"3","42.35848099999845","13.351309999998302","56","9377"
"3","42.35848099999845","13.351309999998302","57","9377"
"3","42.35204999999844","13.348949999998288","58","10118"
"3","42.35204999999844","13.348949999998288","59","10118"
"3","42.349658999998425","13.347645999998283","60","10404"
"4","42.34447099999871","13.40110999999855","1","0"
"4","42.34360099999872","13.401879999998554","2","116"
"4","42.34360099999872","13.401879999998554","3","116"
