"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible"
"23","3","288","","3932","0","AQ127","73",""
"23","3","289","","3928","0","AQ013","73",""
"23","3","290","","4046","1","AQ110","53",""
"16","3","291","","4852","0","AQ048","101",""
"14","3","292","","4454","1","AQ082","34",""
"17","3","293","","4827","0","AQ100","4","1"
"17","3","294","","4826","0","AQ100","4","1"
"6","3","295","","4330","1","AQ080","27",""
"6","3","296","","4332","1","AQ117","27",""
"6","3","297","","4335","1","AQ075","27",""
"6","3","298","","4337","1","AQ052","27",""
"6","3","299","","4334","1","AQ064","61",""
"14","3","300","","4455","1","AQ082","34",""
"14","3","301","","4451","1","AQ008","18",""
"14","3","302","","4460","1","AQ060","34",""
"14","3","303","","4466","1","AQ018","34",""
"14","3","304","","4461","1","AQ102","34",""
"15","3","305","","4442","1","AQ079","119",""
"15","3","306","","4438","1","AQ120","97",""
"14","3","307","","4448","1","AQ072","100",""
"6","3","308","","4331","1","AQ026","27",""
"6","3","309","","4336","1","AQ075","27",""
"7","3","310","","4345","0","AQ073","23",""
"7","3","311","","4342","1","AQ063","140",""
"7","3","312","","4347","1","AQ081","175",""
"7","3","313","","4344","1","AQ001","50",""
"7","3","314","","4346","1","AQ008","206",""
"5","3","315","","4232","0","AQ045","127",""
"5","3","316","","4236","0","AQ045","129",""
"5","3","317","","4237","0","AQ045","127",""
"5","3","318","","4233","0","AQ045","129",""
"5","3","319","","4235","0","AQ045","127",""
"5","3","320","","4231","0","AQ045","127",""
"5","3","321","","4234","0","AQ045","127",""
"14","3","322","","4462","1","AQ128","34",""
"14","3","323","","4459","1","AQ033","34",""
"14","3","324","","4463","1","AQ011","34",""
"14","3","325","","4467","1","AQ050","76",""
"14","3","326","","4469","0","AQ112","132",""
"15","3","327","","4443","1","AQ096","66",""
"21","3","328","","4163","1","AQ051","47",""
"14","3","329","","4450","1","AQ057","18",""
"16","3","330","","4856","0","AQ093","93","1"
"24","3","331","","3908","0","AQ044","220",""
"23","3","332","","4058","1","AQ067","59",""
"23","3","333","","4055","1","AQ115","53",""
"23","3","334","","4052","1","AQ089","59",""
"10","3","335","","4655","1","AQ064","63",""
"10","3","336","","4654","0","AQ064","62",""
"21","3","337","","4181","0","AQ007","46",""
"23","3","338","","4059","1","AQ025","59",""
"23","3","339","","4063","1","AQ009","56",""
"23","3","340","","4070","1","AQ099","53",""
"23","3","341","","4075","1","AQ078","117",""
"20","3","342","","4736","1","AQ110","33",""
"20","3","343","","4739","1","AQ077","33",""
"20","3","344","","4735","1","AQ048","33",""
"17","3","345","","4868","0","AQ091","4","1"
"17","3","346","","4867","0","AQ100","4","1"
"16","3","347","","4864","0","AQ093","95","1"
"21","3","348","","4183","0","AQ104","46",""
"21","3","349","","4182","0","AQ031","46",""
"6","3","350","","4340","1","AQ034","179",""
"7","3","351","","4349","1","AQ005","213",""
"7","3","352","","4350","1","AQ056","203",""
"7","3","353","","4352","1","AQ087","203",""
"7","3","354","","4351","1","AQ087","203",""
"5","3","355","","4238","0","AQ045","127",""
"5","3","356","","4240","0","AQ045","130",""
"5","3","357","","4239","0","AQ045","127",""
"14","3","358","","4468","1","AQ108","205",""
"14","3","359","","4470","0","AQ026","5",""
"23","3","360","","3967","0","AQ110","3",""
"23","3","361","","3973","0","AQ043","3",""
"15","3","362","","4958","0","AQ035","157",""
"21","3","363","","4185","0","AQ051","46",""
"21","3","364","","4180","0","AQ007","46",""
"21","3","365","","4178","0","AQ044","46",""
"21","3","366","","4179","0","AQ007","46",""
