"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"20","A00230","VIA STRINELLA lato Parco Unicef","","42.350030999998744","13.406029999998573","","","0","","",""
"21","A00240","Via Strinella lato parcheggio","","42.352380999998736","13.406869999998579","","","0","","",""
"22","A00250","Via Strinella fronte parcheggio","","42.353010999998745","13.407179999998577","","","0","","",""
"23","A00260","STRINELLA 88 Via Pescara","","42.35370099999874","13.407879999998581","","","0","","",""
"24","A00270","Via Strinella - questura - Strinella 88","","42.35388099999873","13.407199999998577","","","0","","",""
"25","A00275","Via San Bernardino -Via Panfilo Tedeschi","","42.34987599999872","13.402967999998559","","","0","","",""
"26","A00310","Fontana Luminosa Auditorium Castello","","42.353800999998704","13.401799999998556","","","0","","",""
"27","A00340","Viale Gran Sasso lato Castello","","42.35533099999871","13.403879999998562","","","0","","",""
"28","A00350","Viale Gran Sasso lato Stadio Fattori","","42.35578099999872","13.404909999998567","","","0","","",""
"29","A00360","Viale Croce Rossa Stadio Fattori C.Rossa","","42.35750099999871","13.404029999998565","","","0","","",""
"30","A00370","Viale Croce Rossa bivio Via Moscardelli","","42.35753099999872","13.403879999998562","","","0","","",""
"31","A00380","VIALE CROCE ROSSA bivio Viale Ovidio","","42.356980999998704","13.40127999999855","","","0","","",""
"32","A00390","Viale Croce Rossa bv. Via Monte Camicia","","42.3570109999987","13.39877999999854","","","0","","",""
"33","A00400","Viale Croce Rossa lato Porta Branconio","","42.35651099999869","13.396199999998528","","","0","","",""
"34","A00410","VIALE CROCE ROSSA bivio Valle Pretara","","42.35669099999868","13.395059999998525","","","0","","",""
"35","A00420","Viale Croce Rossa bivio Via Vicentini","","42.356610999998665","13.391549999998505","","","0","","",""
"36","A00430","Viale Croce Rossa bivio Via San Sisto","","42.35706099999867","13.3904099999985","","","0","","",""
"37","A00450","VIA XX SETTEMBRE Tribunale fronte","","42.35541099999865","13.389079999998492","","","0","","",""
"38","A00460","VIA XX SETTEMBRE Tribunale","","42.35436099999866","13.389629999998496","","","0","","",""
"39","A00470","VIA XX SETTEMBRE lato Villa Gioia","","42.35255099999866","13.390409999998498","","","0","","",""
"40","A00480","VIA XX SETTEMBRE fronte Villa Gioia","","42.351730999998665","13.390899999998501","","","0","","",""
"41","A00490","VIA XX SETTEMBRE Fontesecco lato Rivera","","42.350250999998664","13.392209999998506","","","0","","",""
"42","A00500","VIA XX SETTEMBRE Fontesecco lato Centro","","42.349807999998674","13.392443999998509","","","0","","",""
"43","A00510","Via XX Settembre San Francesco Di Paola","","42.347247999998665","13.394289999998518","","","0","","",""
"44","A00520","Via XX Settembre incr. Via Sant'Andrea","","42.347132999998685","13.394320999998518","","","0","","",""
"45","A00530","Via XX Settembre lato Sant' Agostino","","42.34646699999869","13.396159999998524","","","0","","",""
"46","A00540","Via XX Settembre lato ple Pasquale Paoli","","42.346235999998676","13.39658499999853","","","0","","",""
"47","A00630","VIALE GRAN SASSO rotonda F.Luminosa","","42.355070999998716","13.402789999998559","","","0","","",""
"48","A00660","VIA PANELLA lato caserma","","42.355180999998744","13.40741999999858","","","0","","",""
"49","A00670","VIA PANELLA lato Questura","","42.35510099999873","13.40733999999858","","","0","","",""
"50","B00010","Via Celano lato Via Castel di Sangro","","42.34360099999876","13.408709999998585","","","0","","",""
"51","B00020","Via Celano fronte Via Castel di Sangro","","42.34346099999873","13.408409999998584","","","0","","",""
"52","B00030","Via Celano Collefiorito Via Giulianova","","42.34274099999875","13.408749999998586","","","0","","",""
